name, starred_at, full_name, owner_name, owner_avatar_url, description, homepage, stargazers_count, forks_count, open_issues_count, license_name, topics, created_at, updated_at, pushed_at, archived
"modern-guide-to-packaging-js-library","2022-09-03T15:52:43Z","frehner/modern-guide-to-packaging-js-library","frehner","https://avatars.githubusercontent.com/u/3054066?v=4","A guide to help ensure your JavaScript library is the most compatible, fast, and efficient library you can make. ","",459,6,5,"GNU General Public License v3.0","javascript, javascript-library, npm","2022-08-24T15:49:26Z","2022-09-03T15:52:43Z","2022-09-02T23:03:24Z",false
"act","2022-09-03T00:37:06Z","nektos/act","nektos","https://avatars.githubusercontent.com/u/3813618?v=4","Run your GitHub Actions locally 🚀","",27266,714,72,"MIT License","ci, devops, github-actions, golang","2019-01-02T19:53:43Z","2022-09-03T15:29:45Z","2022-09-01T02:55:56Z",false
"mawesome","2022-09-02T14:15:30Z","simonecorsi/mawesome","simonecorsi","https://avatars.githubusercontent.com/u/5617452?v=4","😎 Github action to generate your own awesome list from project you've starred ordered by languages!","",18,1,4,,"actions, awesome, awesome-list, awesome-lists, github, github-actions, starred, starred-repositories, typescript","2021-01-15T09:39:18Z","2022-09-02T14:15:30Z","2022-09-01T05:16:22Z",false
"stargazer","2022-09-02T14:15:16Z","rverst/stargazer","rverst","https://avatars.githubusercontent.com/u/8960898?v=4","Stargazer creates a sorted list of your stared GitHub repositories - your personal awesome-list.","",17,3,1,"MIT License","awesome, awesome-list, github, graphql, stargazer, stars","2021-06-17T17:17:12Z","2022-09-02T14:15:16Z","2022-07-19T06:54:36Z",false
"flat","2022-09-02T14:08:17Z","githubocto/flat","githubocto","https://avatars.githubusercontent.com/u/68357280?v=4","The GitHub Action which powers Flat","https://next.github.com/projects/flat-data/",352,24,3,"MIT License","flat-data","2021-02-18T19:48:05Z","2022-09-02T14:08:18Z","2021-11-03T10:37:14Z",false
"saltcorn","2022-09-01T19:10:53Z","saltcorn/saltcorn","saltcorn","https://avatars.githubusercontent.com/u/65254118?v=4","Free and open source no-code application builder","https://saltcorn.com/",897,151,162,"MIT License","no-code, nocode","2020-03-24T14:31:21Z","2022-09-01T19:10:54Z","2022-09-02T21:04:34Z",false
"studio","2022-09-01T19:08:54Z","prisma/studio","prisma","https://avatars.githubusercontent.com/u/17219288?v=4","🎙️ The easiest way to explore and manipulate your data in all of your Prisma projects.","https://www.prisma.io/studio",1223,30,201,,"","2019-08-16T16:44:20Z","2022-09-03T10:10:57Z","2022-07-25T11:17:49Z",false
"migrate","2022-09-01T19:08:01Z","prisma/migrate","prisma","https://avatars.githubusercontent.com/u/17219288?v=4","Issues for Prisma Migrate are now tracked at prisma/prisma. This repo was used to track issues for Prisma Migrate Experimental and is now deprecated.","https://www.prisma.io/docs/concepts/components/prisma-migrate",775,28,0,"Apache License 2.0","database-migrations, database-schema","2019-05-10T13:17:43Z","2022-09-01T19:08:02Z","2020-12-18T12:51:26Z",true
"Awesome-Multimodal-Research","2022-09-01T18:54:55Z","Eurus-Holmes/Awesome-Multimodal-Research","Eurus-Holmes","https://avatars.githubusercontent.com/u/34226570?v=4","A curated list of Multimodal Related Research.","",935,130,1,"MIT License","awesome, multimodal, multimodal-learning, multimodal-research","2019-07-31T14:15:49Z","2022-09-03T12:37:07Z","2022-08-18T18:31:12Z",false
"fq","2022-09-01T18:48:19Z","wader/fq","wader","https://avatars.githubusercontent.com/u/185566?v=4","jq for binary formats","",4334,107,19,"Other","binary, cli, decode, go, hexdump, jq, json, pcap, query, repl, xml, yaml","2021-02-07T21:37:53Z","2022-09-03T05:40:10Z","2022-09-02T13:29:46Z",false
"jq","2022-09-01T18:48:04Z","stedolan/jq","stedolan","https://avatars.githubusercontent.com/u/79765?v=4","Command-line JSON processor","http://stedolan.github.io/jq/",22939,1344,756,"Other","","2012-07-18T19:57:25Z","2022-09-03T12:34:48Z","2022-09-03T13:00:57Z",false
"TiddlyDesktop","2022-09-01T18:43:09Z","TiddlyWiki/TiddlyDesktop","TiddlyWiki","https://avatars.githubusercontent.com/u/79505?v=4","A custom desktop browser for TiddlyWiki 5 and TiddlyWiki Classic, based on nw.js","",1340,112,124,,"javascript, nwjs, tiddlywiki","2014-01-08T18:08:31Z","2022-09-01T18:43:10Z","2022-08-26T13:28:07Z",false
"tanya-data-viz","2022-09-01T12:39:30Z","tashapiro/tanya-data-viz","tashapiro","https://avatars.githubusercontent.com/u/44143974?v=4","Personal data visualization side projects.","",156,27,1,,"data-visualization, r","2022-02-15T16:24:38Z","2022-09-03T15:40:42Z","2022-09-01T07:49:26Z",false
"movenotes","2022-08-31T14:35:03Z","renesugar/movenotes","renesugar","https://avatars.githubusercontent.com/u/633379?v=4",,,3,2,2,"MIT License","apple-notes, joplin, migration-tool","2020-05-23T21:28:33Z","2022-08-31T14:35:03Z","2022-07-29T23:16:21Z",false
"readnotes","2022-08-31T14:34:41Z","renesugar/readnotes","renesugar","https://avatars.githubusercontent.com/u/633379?v=4",,,6,4,1,"MIT License","apple-notes, migration-tool","2020-05-23T21:30:22Z","2022-08-31T14:34:42Z","2021-09-21T01:01:51Z",false
"rust_serialization_benchmark","2022-08-31T14:20:07Z","djkoloski/rust_serialization_benchmark","djkoloski","https://avatars.githubusercontent.com/u/7554649?v=4","Benchmarks for rust serialization frameworks","",146,17,7,,"","2021-03-09T17:50:16Z","2022-08-31T14:25:17Z","2022-07-24T02:41:05Z",false
"flat-ui","2022-08-31T01:33:07Z","githubocto/flat-ui","githubocto","https://avatars.githubusercontent.com/u/68357280?v=4",,"",344,14,4,"MIT License","flat-data","2021-03-17T17:49:04Z","2022-08-31T01:33:07Z","2022-06-16T13:50:30Z",false
"vscode-data-table","2022-08-31T01:31:24Z","RandomFractals/vscode-data-table","RandomFractals","https://avatars.githubusercontent.com/u/656833?v=4","Data Table 🈸 , Flat Data Grid 中 & Data Summary 🈷️ Renderers for VSCode Notebook 📓 Cell ⌗ Data Outputs","https://marketplace.visualstudio.com/items?itemName=RandomFractalsInc.vscode-data-table",6,0,10,"Apache License 2.0","cell, data, data-summary, flat-data, geo, notebook, output, renderer, table, view, viewer, vscode","2021-05-11T12:57:36Z","2022-09-03T10:25:27Z","2022-09-02T14:17:20Z",false
"gh-action-data-scraping","2022-08-31T01:08:38Z","sw-yx/gh-action-data-scraping","sw-yx","https://avatars.githubusercontent.com/u/6764957?v=4","this shows how to use github actions to do periodic data scraping","https://www.swyx.io/github-scraping/",160,30,3,"MIT License","cron, gh-actions, git-scraping","2020-01-21T20:25:25Z","2022-08-31T01:08:38Z","2022-09-03T15:00:48Z",false
"sveltekit-monorepo","2022-08-31T01:06:43Z","sw-yx/sveltekit-monorepo","sw-yx","https://avatars.githubusercontent.com/u/6764957?v=4","sveltekit + turborepo + histoire in a turborepo",,21,1,1,"MIT License","","2022-08-28T05:09:30Z","2022-09-02T09:30:55Z","2022-08-29T02:18:39Z",false
"nix","2022-08-31T01:05:28Z","NixOS/nix","NixOS","https://avatars.githubusercontent.com/u/487568?v=4","Nix, the purely functional package manager","https://nixos.org/",6685,977,1764,"GNU Lesser General Public License v2.1","c-plus-plus, declarative-language, functional-programming, nix, package-manager","2012-02-08T10:17:59Z","2022-09-03T12:09:09Z","2022-09-03T05:32:54Z",false
"excalibrain","2022-08-31T01:00:18Z","zsviczian/excalibrain","zsviczian","https://avatars.githubusercontent.com/u/14358394?v=4","A graph view to navigate your Obsidian vault",,225,6,38,"MIT License","","2022-04-18T06:58:09Z","2022-09-03T08:32:23Z","2022-08-29T19:51:07Z",false
"flatbush","2022-08-31T00:59:54Z","mourner/flatbush","mourner","https://avatars.githubusercontent.com/u/25395?v=4","A very fast static spatial index for 2D points and rectangles in JavaScript 🌱","",1167,54,6,"ISC License","algorithm, computational-geometry, data-structures, javascript, r-tree, spatial-index","2018-02-27T08:57:21Z","2022-09-03T14:02:27Z","2022-08-30T14:31:48Z",false
"ts-prune","2022-08-31T00:21:38Z","nadeesha/ts-prune","nadeesha","https://avatars.githubusercontent.com/u/2942312?v=4","Find unused exports in a typescript project. 🛀","",1255,47,7,"MIT License","typescript, utility","2019-04-26T22:46:36Z","2022-09-03T05:38:13Z","2022-08-11T21:39:27Z",false
"laion-aesthetic-datasette","2022-08-31T00:20:31Z","simonw/laion-aesthetic-datasette","simonw","https://avatars.githubusercontent.com/u/9599?v=4","Use Datasette to explore LAION improved_aesthetics_6plus training data used by Stable DIffusion","https://laion-aesthetic.datasette.io",24,1,2,,"datasette, laion, stable-diffusion","2022-08-27T03:36:47Z","2022-09-02T13:14:36Z","2022-08-30T21:26:34Z",false
"server","2022-08-30T01:06:17Z","traggo/server","traggo","https://avatars.githubusercontent.com/u/45718649?v=4","self-hosted tag-based time tracking","https://traggo.net",499,27,35,"GNU General Public License v3.0","freesoftware, golang, privacy, self-hosted, selfhosted, time, timetracker, timetracking","2018-12-08T17:58:45Z","2022-08-31T22:41:00Z","2022-05-20T15:05:46Z",false
"mirotalk","2022-08-30T00:33:47Z","miroslavpejic85/mirotalk","miroslavpejic85","https://avatars.githubusercontent.com/u/70838434?v=4","🚀 WebRTC - P2P - Simple, Secure, Fast Real-Time Video Conferences Up to 4k and 60fps, compatible with all browsers and platforms.","https://p2p.mirotalk.com",1254,255,1,"GNU Affero General Public License v3.0","browser, conference, conferencing, decentralized, html-css-javascript, meeting, nodejs, p2p, peerjs, screensharing, streaming, video-call, video-chat, video-conferencing, webapp, webrtc, webrtc-call, webrtc-demos, webrtc-video, zoom-clone","2021-01-01T21:31:15Z","2022-09-03T06:41:21Z","2022-09-03T09:26:38Z",false
"octo","2022-08-29T23:41:32Z","voracious/octo","voracious","https://avatars.githubusercontent.com/u/922012?v=4","Build your knowledge base","https://octo.app",257,17,19,"MIT License","hacktoberfest, javascript, markdown-editor, note-taking, notes, offline-first, pwa, technical-writing, vim, vue, vuejs, writing","2020-07-22T20:38:52Z","2022-08-29T23:41:32Z","2022-08-30T14:13:04Z",false
"jsoncrack.com","2022-08-29T22:28:01Z","AykutSarac/jsoncrack.com","AykutSarac","https://avatars.githubusercontent.com/u/47941171?v=4","🔮 Seamlessly visualize your JSON data instantly into graphs; paste, import or fetch!","https://jsoncrack.com",8132,346,17,"MIT License","graph, json, jsoncrack, nextjs, react, tool, visualization","2022-01-30T15:25:18Z","2022-09-03T15:35:16Z","2022-09-03T15:35:41Z",false
"ruffle","2022-08-29T22:25:54Z","ruffle-rs/ruffle","ruffle-rs","https://avatars.githubusercontent.com/u/50037962?v=4","A Flash Player emulator written in Rust","https://ruffle.rs",10568,499,1906,"Other","emulator, flash, hacktoberfest, reimplementation, rust, swf","2019-04-25T17:53:32Z","2022-09-03T13:42:19Z","2022-09-03T12:14:29Z",false
"pepper","2022-08-29T13:25:31Z","vamolessa/pepper","vamolessa","https://avatars.githubusercontent.com/u/1696072?v=4","A simple and opinionated modal code editor for your terminal","https://vamolessa.github.io/pepper/",260,14,9,"GNU General Public License v3.0","editor, lua-script, rust-lang, terminal-based, tui","2020-04-01T13:54:13Z","2022-08-29T13:25:32Z","2022-09-03T02:40:39Z",false
"react-design-editor","2022-08-29T13:10:13Z","layerhub-io/react-design-editor","layerhub-io","https://avatars.githubusercontent.com/u/108345323?v=4","Image, Presentation and Video editor. React design editor using fabric.js. Canva clone","https://editor.layerhub.io",949,67,18,"MIT License","canva-clone, design-editor, fabricjs, graphic-editor, image-editor, presentation-editor, scenify, video-editor","2022-07-21T14:31:36Z","2022-09-03T13:04:57Z","2022-09-02T21:59:35Z",false
"feathers-casl","2022-08-29T13:05:14Z","fratzinger/feathers-casl","fratzinger","https://avatars.githubusercontent.com/u/22286818?v=4","feathers.js + casl: hooks & channels","https://feathers-casl.netlify.app/",26,14,28,"MIT License","acl, authorization, casl, feathersjs, nodejs, permissions, typescript","2021-01-15T18:29:13Z","2022-08-29T13:05:14Z","2022-08-31T03:21:55Z",false
"upscayl","2022-08-29T12:34:40Z","upscayl/upscayl","upscayl","https://avatars.githubusercontent.com/u/112148288?v=4","🆙 Upscayl - Free and Open Source AI Image Upscaler for Linux, MacOS and Windows built with Linux-First philosophy.","",4093,82,13,"GNU Affero General Public License v3.0","ai, electron, esrgan, gigapixel, gigapixel-images, image, image-upscaling, topaz, upscale, upscalerimage, upscayl","2022-07-30T17:19:20Z","2022-09-03T15:10:10Z","2022-09-01T14:58:14Z",false
"y-workers","2022-08-29T12:33:09Z","threepointone/y-workers","threepointone","https://avatars.githubusercontent.com/u/18808?v=4","A Yjs backend on Cloudflare Workers",,23,3,0,,"","2022-08-29T10:38:28Z","2022-08-31T06:15:22Z","2022-08-29T21:32:32Z",false
"grist-core","2022-08-28T15:25:39Z","gristlabs/grist-core","gristlabs","https://avatars.githubusercontent.com/u/19978005?v=4"," Grist is the evolution of spreadsheets. ","https://support.getgrist.com",3237,149,120,"Apache License 2.0","awesome, database, spreadsheet","2020-05-22T06:16:02Z","2022-09-03T01:12:29Z","2022-09-02T10:17:18Z",false
"svelte-headless-table","2022-08-28T13:26:02Z","bryanmylee/svelte-headless-table","bryanmylee","https://avatars.githubusercontent.com/u/42545742?v=4","Unopinionated and extensible data tables for Svelte","https://svelte-headless-table.bryanmylee.com/",95,5,1,"MIT License","datatable, expanding, filtering, grouping, headless, hiding, ordering, plugin, resizing, selecting, sorting, svelte, sveltejs, table","2022-04-12T09:30:33Z","2022-08-28T13:26:02Z","2022-08-13T17:34:54Z",false
